,Gene_index,Divergence_across_classes
0,9798,0.5166907246617488
1,10677,0.5135076056716966
2,10679,0.4931981952297839
3,30429,0.4923208132465873
4,10700,0.3954557189528265
5,10678,0.38545639675582166
6,10607,0.36618904604824354
7,10610,0.3643975727699461
8,28817,0.3627603340042151
9,1964,0.3608745042657393
10,31075,0.3574294095633593
11,19801,0.3529499547670124
12,10699,0.34968874663079297
13,19800,0.3372628771457453
14,2224,0.3317662658223455
15,4046,0.32240855399576196
16,1955,0.3111410720709604
17,1957,0.304889896088685
18,24757,0.29609573079565754
19,23794,0.2910928839421333
20,10608,0.2890325649724323
21,19179,0.28360881616326616
22,21053,0.2831935350243228
23,5871,0.2733410102990925
24,30656,0.2724308827928674
25,11082,0.27076527880182555
26,30933,0.27042504576212334
27,18998,0.26860191046666304
28,25974,0.26349930702601343
29,19154,0.2632570976729054
30,4065,0.256847707272131
31,1989,0.2559472102169923
32,32022,0.25450771263984284
33,10680,0.25210608778464877
34,1962,0.24624616119559595
35,28832,0.24467265714128816
36,27507,0.242729110402706
37,8889,0.24270817641455295
38,22589,0.24220099005088236
39,19263,0.24216644017972777
40,27883,0.24205981423787448
41,30428,0.23955886646716817
42,558,0.23648930708720917
43,29914,0.23168537638052444
44,20397,0.22539340068594305
45,10684,0.21856445564880822
46,16815,0.21549167027190835
47,10695,0.21503076330619708
48,20245,0.2126801368110871
49,21214,0.21109083967892417
50,13731,0.2073125085711114
51,19252,0.20518639483654666
52,15745,0.20508714466856448
53,24049,0.2041504768931911
54,7586,0.20350029685076831
55,1362,0.20296018772612523
56,24673,0.2018361840145717
57,16744,0.20133009393009738
58,32105,0.20012555995923287
59,30957,0.19977924523063328
60,14619,0.19890898927295897
61,17464,0.19812648768488506
62,30104,0.19776347691029228
63,10681,0.19673143641544688
64,30975,0.19453506600213955
65,13302,0.1940424741806558
66,26824,0.19355947613040358
67,31398,0.1917727069277445
68,5521,0.19036102192134663
69,7344,0.18975465424843097
70,18144,0.18860262311100695
71,10592,0.1863185766081299
72,32215,0.18372493515947308
73,25267,0.1831979813538468
74,27957,0.18164926497442724
75,8812,0.18164817263932775
76,11447,0.17897938805632108
77,20851,0.17763186614003212
78,31963,0.17599114967751783
79,17423,0.17564301486514466
80,29160,0.17232858116865868
81,7592,0.16969885524545597
82,18772,0.16942224312900767
83,18944,0.1687617202113147
84,5068,0.16861806131424695
85,17449,0.1683346638885778
86,10363,0.16742145604429814
87,23475,0.1664209312633337
88,20149,0.16620312013465977
89,10594,0.16616189005369164
90,17550,0.1661360436572561
91,19420,0.16563847565123846
92,13125,0.16361064297593575
93,7587,0.1630643909731186
94,21862,0.1627749694597883
95,29417,0.1614679464608616
96,20251,0.16103627505386608
97,29405,0.15925663010333657
98,7788,0.1591909156133109
99,29428,0.15426035419059347
100,13382,0.15385461109003473
101,20873,0.15309797610184583
102,19827,0.15217906854100205
103,19152,0.15150571239368293
104,4171,0.15007904349755208
105,29532,0.15002212560150752
106,2237,0.1497554609559686
107,5594,0.14849507251962746
108,5698,0.14835897076662452
109,26013,0.14775162557895594
110,9144,0.14744931296598307
111,23206,0.1473258567993605
112,32703,0.14698721398811287
